Date,Week,Opp,Result,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Ctch%,Receiving Y/Tgt,Scoring TD,Scoring Pts,Off. Snaps Num,Off. Snaps Pct
9/10/2023,1,NWE,W 25-20,10,7,79,11.29,0,0.7,7.9,0,0,60,0.91
9/14/2023,2,MIN,W 34-28,6,4,29,7.25,0,0.667,4.83,0,0,74,0.96
9/25/2023,3,TAM,W 25-11,14,9,131,14.56,0,0.643,9.36,0,0,66,0.83
10/1/2023,4,WAS,W 34-31,13,9,175,19.44,2,0.692,13.46,2,12,68,0.96
10/8/2023,5,LAR,W 23-14,8,6,127,21.17,0,0.75,15.88,0,0,78,0.99
10/15/2023,6,NYJ,L 14-20,9,7,131,18.71,0,0.778,14.56,0,0,67,0.96
10/22/2023,7,MIA,W 31-17,15,10,137,13.7,1,0.667,9.13,1,6,59,0.82
10/29/2023,8,WAS,W 38-31,8,8,130,16.25,2,1,16.25,2,12,62,0.98
11/5/2023,9,DAL,W 28-23,9,7,66,9.43,1,0.778,7.33,1,6,60,0.97
11/20/2023,11,KAN,W 21-17,4,1,8,8,0,0.25,2,0,0,53,0.95
11/26/2023,12,BUF,W 37-34,9,5,37,7.4,1,0.556,4.11,1,6,62,0.94
12/3/2023,13,SFO,L 19-42,13,8,114,14.25,0,0.615,8.77,0,0,62,0.86
12/10/2023,14,DAL,L 13-33,13,9,94,10.44,0,0.692,7.23,0,0,51,0.93
12/18/2023,15,SEA,L 17-20,10,5,56,11.2,0,0.5,5.6,0,0,66,0.96
12/25/2023,16,NYG,W 33-25,11,6,80,13.33,0,0.545,7.27,0,0,73,0.97
12/31/2023,17,ARI,L 31-35,5,4,53,13.25,0,0.8,10.6,0,0,46,0.94
1/7/2024,18,NYG,L 10-27,1,1,9,9,0,1,9,0,0,12,0.18
