Rk,Date,G#,Week,Age,Tm,Column1,Opp,Result,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Scoring 2PM,Scoring TD,Scoring Pts,Fumbles Fmb,Fumbles FL,Fumbles FF,Fumbles FR,Fumbles Yds,Fumbles TD,Off. Snaps Num,Off. Snaps Pct,Def. Snaps Num,Def. Snaps Pct,ST Snaps Num,ST Snaps Pct,Status
1,9/11/2023,1,1,24.163,BUF,@,NYJ,L 16-22,*,4,2,32,16,0,0.5,8,0,0,,0,,0,0,0,0,0,0,0,0,65,0.94,0,0,0,0,
2,9/17/2023,2,2,24.169,BUF,,LVR,W 38-10,*,7,6,92,15.33,1,0.857,13.14,0,0,,0,,1,6,0,0,0,0,0,0,58,0.74,0,0,0,0,
3,9/24/2023,3,3,24.176,BUF,@,WAS,W 37-3,*,4,1,35,35,1,0.25,8.75,1,-2,-2,0,,1,6,0,0,0,0,0,0,52,0.76,0,0,0,0,
4,10/1/2023,4,4,24.183,BUF,,MIA,W 48-20,*,3,3,61,20.33,1,1,20.33,0,0,,0,,1,6,0,0,0,0,0,0,42,0.72,0,0,0,0,
5,10/8/2023,5,5,24.19,BUF,,JAX,L 20-25,*,8,6,100,16.67,1,0.75,12.5,0,0,,0,,1,6,0,0,0,0,0,0,54,0.9,0,0,1,0.04,
6,10/15/2023,6,6,24.197,BUF,,NYG,W 14-9,*,4,3,21,7,0,0.75,5.25,0,0,,0,,0,0,1,1,0,0,0,0,54,0.89,0,0,0,0,
7,10/22/2023,7,7,24.204,BUF,@,NWE,L 25-29,*,5,1,6,6,0,0.2,1.2,0,0,,0,,0,0,0,0,0,0,0,0,68,0.96,0,0,0,0,
8,10/26/2023,8,8,24.208,BUF,,TAM,W 24-18,*,12,9,87,9.67,1,0.75,7.25,0,0,,0,,1,6,0,0,0,0,0,0,68,0.99,0,0,0,0,
9,11/5/2023,9,9,24.218,BUF,@,CIN,L 18-24,*,2,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,54,0.93,0,0,0,0,
10,11/13/2023,10,10,24.226,BUF,,DEN,L 22-24,*,6,2,56,28,0,0.333,9.33,0,0,,0,1,0,2,0,0,0,0,0,0,53,0.98,0,0,0,0,
11,11/19/2023,11,11,24.232,BUF,,NYJ,W 32-6,*,,,,,,0,,,,,,,0,0,,,,,,,67,0.88,0,0,0,0,
12,11/26/2023,12,12,24.239,BUF,@,PHI,L 34-37,*,12,6,105,17.5,1,0.5,8.75,0,0,,0,,1,6,0,0,0,0,0,0,91,0.96,0,0,0,0,
13,12/10/2023,13,14,24.253,BUF,@,KAN,W 20-17,*,2,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,63,0.82,0,0,0,0,
14,12/17/2023,14,15,24.26,BUF,,DAL,W 31-10,*,1,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,49,0.72,0,0,0,0,
15,12/23/2023,15,16,24.266,BUF,@,LAC,W 24-22,*,6,4,130,32.5,1,0.667,21.67,0,0,,0,,1,6,0,0,0,0,0,0,47,0.85,0,0,0,0,
16,12/31/2023,16,17,24.274,BUF,,NWE,W 27-21,*,3,2,21,10.5,0,0.667,7,0,0,,0,,0,0,0,0,0,0,0,0,63,0.91,0,0,0,0,
17,1/7/2024,17,18,24.281,BUF,@,MIA,W 21-14,*,2,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,18,0.23,0,0,0,0,
