Rk,Date,G#,Week,Age,Tm,Column1,Opp,Result,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Scoring 2PM,Scoring TD,Scoring Pts,Fumbles Fmb,Fumbles FL,Fumbles FF,Fumbles FR,Fumbles Yds,Fumbles TD,Off. Snaps Num,Off. Snaps Pct,Def. Snaps Num,Def. Snaps Pct,ST Snaps Num,ST Snaps Pct,Status
1,9/10/2023,1,1,24.175,HOU,@,BAL,L 9-25,*,11,6,80,13.33,0,54.50%,7.27,0,0,,0,,0,0,0,0,0,0,0,0,55,71%,0,0%,0,0%,
2,9/17/2023,2,2,24.182,HOU,,IND,L 20-31,,9,7,146,20.86,1,77.80%,16.22,0,0,,0,,1,6,0,0,0,0,0,0,52,62%,0,0%,0,0%,
3,9/24/2023,3,3,24.189,HOU,@,JAX,W 37-17,,3,2,34,17,0,66.70%,11.33,0,0,,0,,0,0,0,0,0,0,0,0,37,66%,0,0%,0,0%,
4,10/1/2023,4,4,24.196,HOU,,PIT,W 30-6,,9,7,168,24,2,77.80%,18.67,0,0,,0,,2,12,0,0,0,1,0,0,54,76%,0,0%,0,0%,
5,10/8/2023,5,5,24.203,HOU,@,ATL,L 19-21,*,4,3,39,13,0,75.00%,9.75,0,0,,0,,0,0,0,0,0,0,0,0,51,88%,0,0%,0,0%,
6,10/15/2023,6,6,24.21,HOU,,NOR,W 20-13,*,6,4,80,20,0,66.70%,13.33,0,0,,0,,0,0,0,0,1,0,0,0,46,73%,0,0%,0,0%,
7,10/29/2023,7,8,24.224,HOU,@,CAR,L 13-15,*,6,4,30,7.5,0,66.70%,5,0,0,,0,,0,0,0,0,0,0,0,0,42,72%,0,0%,0,0%,
8,11/5/2023,8,9,24.231,HOU,,TAM,W 39-37,*,5,3,54,18,1,60.00%,10.8,0,0,,0,,1,6,0,0,0,0,0,0,57,79%,0,0%,0,0%,
10,11/19/2023,10,11,24.245,HOU,,ARI,W 21-16,,11,7,65,9.29,0,63.60%,5.91,0,0,,0,,0,0,0,0,0,0,0,0,51,76%,0,0%,0,0%,
11,11/26/2023,11,12,24.252,HOU,,JAX,L 21-24,,9,7,104,14.86,1,77.80%,11.56,0,0,,0,,1,6,0,0,0,0,0,0,46,77%,0,0%,0,0%,
12,12/3/2023,12,13,24.259,HOU,,DEN,W 22-17,*,12,9,191,21.22,1,75.00%,15.92,0,0,,0,,1,6,0,0,0,0,0,0,55,81%,0,0%,0,0%,
13,12/10/2023,13,14,24.266,HOU,@,NYJ,L 6-30,*,1,1,13,13,0,100.00%,13,0,0,,0,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,
15,12/24/2023,15,16,24.28,HOU,,CLE,L 22-36,*,6,4,18,4.5,1,66.70%,3,0,0,,0,1,1,8,0,0,0,0,0,0,35,47%,0,0%,0,0%,
16,12/31/2023,16,17,24.287,HOU,,TEN,W 26-3,*,8,7,80,11.43,0,87.50%,10,1,7,7,0,,0,0,1,0,0,0,0,0,38,62%,0,0%,0,0%,
17,1/6/2024,17,18,24.293,HOU,@,IND,W 23-19,*,9,9,195,21.67,1,100.00%,21.67,0,0,,0,,1,6,0,0,0,0,0,0,47,84%,0,0%,0,0%,
