Date,Week,Tm,Opp,Result,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Ctch%,Receiving Y/Tgt,Scoring TD,Scoring Pts,Off. Snaps Num,Off. Snaps Pct
9/8/2022,1,BUF,LAR,W 31-10,9,8,122,15.25,1,0.889,13.56,1,6,38,0.64
9/19/2022,2,BUF,TEN,W 41-7,15,12,148,12.33,3,0.8,9.87,3,18,45,0.66
9/25/2022,3,BUF,MIA,L 19-21,11,7,74,10.57,0,0.636,6.73,0,0,64,0.7
10/2/2022,4,BUF,BAL,W 23-20,6,4,62,15.5,0,0.667,10.33,0,0,61,0.95
10/9/2022,5,BUF,PIT,W 38-3,11,8,102,12.75,1,0.727,9.27,1,6,43,0.77
10/16/2022,6,BUF,KAN,W 24-20,13,10,148,14.8,1,0.769,11.38,1,6,64,0.88
10/30/2022,8,BUF,GNB,W 27-17,8,6,108,18,1,0.75,13.5,1,6,47,0.8
11/6/2022,9,BUF,NYJ,L 17-20,10,5,93,18.6,0,0.5,9.3,0,0,46,0.74
11/13/2022,10,BUF,MIN,L 30-33,16,12,128,10.67,0,0.75,8,0,0,69,0.92
11/20/2022,11,BUF,CLE,W 31-23,5,4,48,12,1,0.8,9.6,1,6,43,0.66
11/24/2022,12,BUF,DET,W 28-25,15,8,77,9.63,1,0.533,5.13,1,6,60,0.78
12/1/2022,13,BUF,NWE,W 24-10,9,7,92,13.14,1,0.778,10.22,1,6,55,0.73
12/11/2022,14,BUF,NYJ,W 20-12,5,3,37,12.33,0,0.6,7.4,0,0,46,0.78
12/17/2022,15,BUF,MIA,W 32-29,9,5,60,12,0,0.556,6.67,0,0,67,0.86
12/24/2022,16,BUF,CHI,W 35-13,2,2,26,13,0,1,13,0,0,43,0.67
1/8/2023,18,BUF,NWE,W 35-23,10,7,104,14.86,1,0.7,10.4,1,6,45,0.76
9/11/2023,1,BUF,NYJ,L 16-22,13,10,102,10.2,1,0.769,7.85,1,6,58,0.84
9/17/2023,2,BUF,LVR,W 38-10,7,7,66,9.43,0,1,9.43,0,0,68,0.87
9/24/2023,3,BUF,WAS,W 37-3,12,8,111,13.88,0,0.667,9.25,0,0,45,0.66
10/1/2023,4,BUF,MIA,W 48-20,7,6,120,20,3,0.857,17.14,3,18,44,0.76
10/8/2023,5,BUF,JAX,L 20-25,11,8,121,15.13,1,0.727,11,1,6,52,0.87
10/15/2023,6,BUF,NYG,W 14-9,16,10,100,10,0,0.625,6.25,0,0,57,0.93
10/22/2023,7,BUF,NWE,L 25-29,12,6,58,9.67,1,0.5,4.83,1,6,62,0.87
10/26/2023,8,BUF,TAM,W 24-18,12,9,70,7.78,0,0.75,5.83,0,0,68,0.99
11/5/2023,9,BUF,CIN,L 18-24,7,6,86,14.33,1,0.857,12.29,1,8,55,0.95
11/13/2023,10,BUF,DEN,L 22-24,5,3,34,11.33,0,0.6,6.8,0,0,53,0.98
11/19/2023,11,BUF,NYJ,W 32-6,8,4,27,6.75,0,0.5,3.38,0,0,61,0.8
11/26/2023,12,BUF,PHI,L 34-37,11,6,74,12.33,1,0.545,6.73,1,6,87,0.92
12/10/2023,14,BUF,KAN,W 20-17,11,4,24,6,0,0.364,2.18,0,0,61,0.79
12/17/2023,15,BUF,DAL,W 31-10,5,4,48,12,0,0.8,9.6,0,0,31,0.46
12/23/2023,16,BUF,LAC,W 24-22,8,5,29,5.8,0,0.625,3.63,0,0,33,0.6
12/31/2023,17,BUF,NWE,W 27-21,7,4,26,6.5,0,0.571,3.71,0,0,45,0.65
1/7/2024,18,BUF,MIA,W 21-14,8,7,87,12.43,0,0.875,10.88,0,0,69,0.88
