Date,Week,Tm,Opp,Result,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Ctch%,Receiving Y/Tgt,Scoring TD,Scoring Pts,Off. Snaps Num,Off. Snaps Pct
9/10/2023,1,HOU,BAL,L 9-25,4,3,34,11.33,0,75.0%,8.50,0,0,37,48%
9/17/2023,2,HOU,IND,L 20-31,10,7,72,10.29,1,70.0%,7.20,1,6,66,79%
9/24/2023,3,HOU,JAX,W 37-17,7,5,145,29.00,1,71.4%,20.71,1,6,34,61%
10/1/2023,4,HOU,PIT,W 30-6,3,1,16,16.00,0,33.3%,5.33,0,0,50,70%
10/8/2023,5,HOU,ATL,L 19-21,4,3,57,19.00,0,75.0%,14.25,0,0,21,36%
10/15/2023,6,HOU,NOR,W 20-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10/29/2023,8,HOU,CAR,L 13-15,4,3,16,5.33,0,75.0%,4.00,0,0,45,78%
11/5/2023,9,HOU,TAM,W 39-37,11,6,114,19.00,2,54.5%,10.36,2,12,61,85%
11/12/2023,10,HOU,CIN,W 30-27,14,6,56,9.33,1,42.9%,4.00,1,6,72,96%
11/19/2023,11,HOU,ARI,W 21-16,10,8,149,18.63,1,80.0%,14.90,1,6,51,76%
11/26/2023,12,HOU,JAX,L 21-24,8,5,50,10.00,1,62.5%,6.25,1,6,48,80%
12/3/2023,13,HOU,DEN,W 22-17,,,,,,0.0%,,0,0,9,13%
12/10/2023,14,HOU,NYJ,L 6-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12/17/2023,15,HOU,TEN,W 19-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12/24/2023,16,HOU,CLE,L 22-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12/31/2023,17,HOU,TEN,W 26-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1/6/2024,18,HOU,IND,W 23-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
