Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
1,CeeDee Lamb*+,DAL,24,WR,17,17,181,135,0.746,1749,13,12,80,63.5,92,9.7,7.9,102.9,3
2,Tyreek Hill*+,MIA,29,WR,16,16,171,119,0.696,1799,15.1,13,83,57.9,78,10.5,7.4,112.4,1
3,Amon-Ra St. Brown*+,DET,24,WR,16,16,164,119,0.726,1515,12.7,10,75,61.6,70,9.2,7.4,94.7,1
4,Evan Engram*,JAX,29,TE,17,15,143,114,0.797,963,8.4,4,47,53.1,34,6.7,6.7,56.6,3
5,Michael Pittman Jr.,IND,26,WR,16,15,156,109,0.699,1152,10.6,4,53,51.9,75,7.4,6.8,72,2
6,Keenan Allen*,LAC,31,WR,13,13,150,108,0.72,1243,11.5,7,57,58.7,42,8.3,8.3,95.6,2
7,Stefon Diggs*,BUF,30,WR,17,17,160,107,0.669,1183,11.1,8,58,55,55,7.4,6.3,69.6,2
8,A.J. Brown*,PHI,26,WR,17,17,158,106,0.671,1456,13.7,7,70,56.3,59,9.2,6.2,85.6,2
9,Puka Nacua*,LAR,22,WR,17,17,160,105,0.656,1486,14.2,6,68,56.9,80,9.3,6.2,87.4,1
10,Davante Adams,LVR,31,WR,17,17,175,103,0.589,1144,11.1,8,59,48.6,46,6.5,6.1,67.3,0
11,Adam Thielen,CAR,33,WR,17,17,137,103,0.752,1014,9.8,4,56,58.4,32,7.4,6.1,59.6,2
12,Ja'Marr Chase*,CIN,23,WR,16,16,145,100,0.69,1216,12.2,7,63,56.6,76,8.4,6.3,76,1
13,D.J. Moore,CHI,26,WR,17,17,136,96,0.706,1364,14.2,8,64,59.6,58,10,5.6,80.2,1
14,T.J. Hockenson,MIN,26,TE,15,11,127,95,0.748,960,10.1,5,48,53.5,29,7.6,6.3,64,1
15,Garrett Wilson,NYJ,23,WR,17,17,168,95,0.565,1042,11,3,47,44,68,6.2,5.6,61.3,2
16,Travis Kelce*,KAN,34,TE,15,15,121,93,0.769,984,10.6,5,50,62,53,8.1,6.2,65.6,1
17,Chris Olave,NOR,23,WR,16,11,138,87,0.63,1123,12.9,5,57,53.6,51,8.1,5.4,70.2,0
18,Sam LaPorta*,DET,22,TE,17,14,120,86,0.717,889,10.3,10,48,55.8,48,7.4,5.1,52.3,0
19,Chris Godwin,TAM,27,WR,17,17,130,83,0.638,1024,12.3,2,53,50,47,7.9,4.9,60.2,0
20,Trey McBride,ARI,24,TE,17,12,106,81,0.764,825,10.2,3,42,57.5,38,7.8,4.8,48.5,1
21,David Njoku*,CLE,27,TE,16,16,123,81,0.659,882,10.9,6,35,43.9,43,7.2,5.1,55.1,2
22,DeVonta Smith,PHI,25,WR,16,16,112,81,0.723,1066,13.2,7,47,55.4,63,9.5,5.1,66.6,1
23,Nico Collins,HOU,24,WR,15,10,109,80,0.734,1297,16.2,8,53,61.5,75,11.9,5.3,86.5,1
24,Mike Evans*,TAM,30,WR,17,17,136,79,0.581,1255,15.9,13,54,53.7,75,9.2,4.6,73.8,0
25,Tyler Lockett,SEA,31,WR,17,17,122,79,0.648,894,11.3,5,47,58.2,37,7.3,4.6,52.6,0
26,Terry McLaurin,WAS,28,WR,17,17,132,79,0.598,1002,12.7,4,47,49.2,48,7.6,4.6,58.9,0
27,Rashee Rice,KAN,23,WR,16,8,102,79,0.775,938,11.9,7,44,61.8,67,9.2,4.9,58.6,2
28,Zay Flowers,BAL,23,WR,16,16,108,77,0.713,858,11.1,5,41,55.6,75,7.9,4.8,53.6,0
29,Breece Hall,NYJ,22,RB,17,16,95,76,0.8,591,7.8,4,28,40,50,6.2,4.5,34.8,2
30,Calvin Ridley,JAX,29,WR,17,17,136,76,0.559,1016,13.4,8,49,48.5,59,7.5,4.5,59.8,1
31,Brandon Aiyuk,SFO,25,WR,16,16,105,75,0.714,1342,17.9,7,61,70.5,76,12.8,4.7,83.9,1
32,DeAndre Hopkins,TEN,31,WR,17,16,137,75,0.547,1057,14.1,7,48,43.8,61,7.7,4.4,62.2,0
33,Alvin Kamara,NOR,28,RB,13,12,86,75,0.872,466,6.2,1,23,45.3,25,5.4,5.8,35.8,0
34,Dalton Kincaid,BUF,24,TE,16,11,91,73,0.802,673,9.2,2,29,61.5,51,7.4,4.6,42.1,1
35,Cole Kmet,CHI,24,TE,17,17,90,73,0.811,719,9.8,6,36,62.2,53,8,4.3,42.3,1
36,Amari Cooper*,CLE,29,WR,15,15,128,72,0.563,1250,17.4,5,50,53.1,75,9.8,4.8,83.3,2
37,Jaylen Waddle,MIA,25,WR,14,14,104,72,0.692,1014,14.1,4,47,58.7,60,9.8,5.1,72.4,0
38,Jake Ferguson*,DAL,24,TE,17,16,102,71,0.696,761,10.7,5,40,55.9,40,7.5,4.2,44.8,0
39,Jakobi Meyers,LVR,27,WR,16,16,106,71,0.67,807,11.4,8,46,54.7,33,7.6,4.4,50.4,0
40,Jordan Addison,MIN,21,WR,17,14,108,70,0.648,911,13,10,38,50,62,8.4,4.1,53.6,0
41,Drake London,ATL,22,WR,16,16,110,69,0.627,905,13.1,2,45,52.7,45,8.2,4.3,56.6,0
42,Josh Downs,IND,22,WR,17,9,98,68,0.694,771,11.3,2,30,50,59,7.9,4,45.4,0
43,Justin Jefferson,MIN,24,WR,10,9,100,68,0.68,1074,15.8,5,51,61,52,10.7,6.8,107.4,1
44,Tyler Boyd,CIN,29,WR,17,13,98,67,0.684,667,10,2,28,46.9,64,6.8,3.9,39.2,0
45,Christian McCaffrey*+,SFO,27,RB,16,16,83,67,0.807,564,8.4,7,31,55.4,41,6.8,4.2,35.3,3
46,D.K. Metcalf*,SEA,26,WR,16,16,119,66,0.555,1114,16.9,8,52,51.3,73,9.4,4.1,69.6,0
47,George Kittle*+,SFO,30,TE,16,16,90,65,0.722,1020,15.7,6,42,60,66,11.3,4.1,63.8,0
48,Jayden Reed,GNB,23,WR,16,13,94,64,0.681,793,12.4,8,32,51.1,59,8.4,4,49.6,2
49,Rachaad White,TAM,24,RB,17,17,70,64,0.914,549,8.6,3,23,54.3,43,7.8,3.8,32.3,3
50,George Pickens,PIT,22,WR,17,16,106,63,0.594,1140,18.1,5,42,50.9,86,10.8,3.7,67.1,3
51,Jaxon Smith-Njigba,SEA,21,WR,17,3,93,63,0.677,628,10,4,29,47.3,35,6.8,3.7,36.9,0
52,Curtis Samuel,WAS,27,WR,16,13,91,62,0.681,613,9.9,4,26,50.5,37,6.7,3.9,38.3,0
53,Tyler Conklin,NYJ,28,TE,17,12,87,61,0.701,621,10.2,0,27,44.8,37,7.1,3.6,36.5,0
54,Jaylen Warren,PIT,25,RB,17,0,74,61,0.824,370,6.1,0,19,44.6,30,5,3.6,21.8,4
55,Wan'Dale Robinson,NYG,22,WR,15,8,78,60,0.769,525,8.8,1,29,53.8,33,6.7,4,35,0
56,Deebo Samuel,SFO,27,WR,15,15,89,60,0.674,892,14.9,7,34,56.2,54,10,4,59.5,1
57,Romeo Doubs,GNB,23,WR,17,16,96,59,0.615,674,11.4,8,41,51,36,7,3.5,39.6,1
58,Dallas Goedert,PHI,28,TE,14,14,83,59,0.711,592,10,3,33,60.2,49,7.1,4.2,42.3,0
59,Cooper Kupp,LAR,30,WR,12,12,95,59,0.621,737,12.5,5,33,49.5,62,7.8,4.9,61.4,0
60,Elijah Moore,CLE,23,WR,17,12,104,59,0.567,640,10.8,2,29,42.3,42,6.2,3.5,37.6,2
61,Dalton Schultz,HOU,27,TE,15,8,88,59,0.67,635,10.8,5,35,52.3,31,7.2,3.9,42.3,1
62,Courtland Sutton,DEN,28,WR,16,14,90,59,0.656,772,13.1,10,37,54.4,46,8.6,3.7,48.3,3
63,Travis Etienne,JAX,24,RB,17,17,73,58,0.795,476,8.2,1,23,49.3,56,6.5,3.4,28,0
64,Bijan Robinson,ATL,21,RB,17,16,86,58,0.674,487,8.4,4,24,45.3,71,5.7,3.4,28.6,4
65,Christian Kirk,JAX,27,WR,12,12,85,57,0.671,787,13.8,3,34,57.6,57,9.3,4.8,65.6,2
66,Tony Pollard,DAL,26,RB,17,17,67,55,0.821,311,5.7,0,12,43.3,60,4.6,3.2,18.3,3
67,Logan Thomas,WAS,32,TE,16,15,78,55,0.705,496,9,4,21,56.4,29,6.4,3.4,31,2
68,Brandin Cooks,DAL,30,WR,16,15,81,54,0.667,657,12.2,8,38,59.3,37,8.1,3.4,41.1,1
